Координаты: (130.0, 263.0); Яркость: 1017; Размер: 4; Тип: звезда
Координаты: (102.5, 261.5); Яркость: 2295; Размер: 9; Тип: звезда
Координаты: (95.0, 227.0); Яркость: 1020; Размер: 4; Тип: звезда
Координаты: (147.0, 228.0); Яркость: 8545; Размер: 36; Тип: звезда
Координаты: (298.5, 242.5); Яркость: 888492; Размер: 6555; Тип: звезда
Координаты: (423.0, 191.5); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (423.0, 184.0); Яркость: 1020; Размер: 4; Тип: звезда
Координаты: (11.0, 177.0); Яркость: 3978; Размер: 16; Тип: звезда
Координаты: (357.5, 136.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (103.0, 138.0); Яркость: 35067; Размер: 196; Тип: звезда
Координаты: (320.5, 127.5); Яркость: 2295; Размер: 9; Тип: звезда
Координаты: (445.5, 113.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (49.5, 38.5); Яркость: 226; Размер: 1; Тип: звезда
Координаты: (35.5, 30.5); Яркость: 209716; Размер: 1131; Тип: звезда
