Координаты: (3.5, 215.0); Яркость: 421; Размер: 2; Тип: звезда
Координаты: (51.5, 171.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (73.0, 170.5); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (60.0, 172.5); Яркость: 8294; Размер: 40; Тип: звезда
Координаты: (32.5, 169.5); Яркость: 3344; Размер: 15; Тип: звезда
Координаты: (5.0, 167.5); Яркость: 504; Размер: 2; Тип: звезда
Координаты: (112.0, 169.0); Яркость: 29642; Размер: 144; Тип: звезда
Координаты: (61.5, 166.0); Яркость: 1435; Размер: 6; Тип: звезда
Координаты: (27.5, 168.0); Яркость: 6457; Размер: 30; Тип: звезда
Координаты: (107.0, 165.0); Яркость: 1764; Размер: 8; Тип: звезда
Координаты: (56.5, 165.5); Яркость: 2229; Размер: 9; Тип: звезда
Координаты: (15.5, 164.5); Яркость: 251; Размер: 1; Тип: звезда
Координаты: (25.5, 163.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (80.0, 166.5); Яркость: 18658; Размер: 90; Тип: звезда
Координаты: (67.5, 163.5); Яркость: 2240; Размер: 9; Тип: звезда
Координаты: (98.0, 160.5); Яркость: 4301; Размер: 18; Тип: звезда
Координаты: (72.5, 159.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (52.0, 161.0); Яркость: 8410; Размер: 40; Тип: звезда
Координаты: (39.5, 163.5); Яркость: 21914; Размер: 117; Тип: звезда
Координаты: (19.0, 159.5); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (10.0, 161.0); Яркость: 14504; Размер: 72; Тип: звезда
Координаты: (62.0, 159.5); Яркость: 5960; Размер: 30; Тип: звезда
Координаты: (41.0, 158.0); Яркость: 1909; Размер: 8; Тип: звезда
Координаты: (102.5, 157.5); Яркость: 2034; Размер: 9; Тип: звезда
Координаты: (68.0, 157.0); Яркость: 1711; Размер: 8; Тип: звезда
Координаты: (49.5, 156.0); Яркость: 1428; Размер: 6; Тип: звезда
Координаты: (13.0, 156.5); Яркость: 4012; Размер: 18; Тип: звезда
Координаты: (117.5, 158.0); Яркость: 17663; Размер: 88; Тип: звезда
Координаты: (33.0, 156.0); Яркость: 5982; Размер: 32; Тип: звезда
Координаты: (3.0, 155.5); Яркость: 4015; Размер: 18; Тип: звезда
Координаты: (113.0, 154.0); Яркость: 907; Размер: 4; Тип: звезда
Координаты: (97.5, 154.5); Яркость: 2063; Размер: 9; Тип: звезда
Координаты: (117.5, 153.0); Яркость: 1484; Размер: 6; Тип: звезда
Координаты: (73.5, 153.5); Яркость: 5214; Размер: 25; Тип: звезда
Координаты: (40.5, 153.0); Яркость: 5550; Размер: 28; Тип: звезда
Координаты: (28.0, 152.5); Яркость: 2563; Размер: 12; Тип: звезда
Координаты: (107.5, 155.0); Яркость: 14334; Размер: 70; Тип: звезда
Координаты: (96.0, 150.5); Яркость: 508; Размер: 2; Тип: звезда
Координаты: (92.0, 153.5); Яркость: 8702; Размер: 42; Тип: звезда
Координаты: (57.5, 151.0); Яркость: 478; Размер: 2; Тип: звезда
Координаты: (148.5, 148.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (78.5, 148.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (21.0, 149.5); Яркость: 2705; Размер: 12; Тип: звезда
Координаты: (0.5, 148.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (83.5, 153.0); Яркость: 25357; Размер: 132; Тип: звезда
Координаты: (66.5, 147.5); Яркость: 144; Размер: 1; Тип: звезда
Координаты: (10.0, 149.0); Яркость: 8117; Размер: 40; Тип: звезда
Координаты: (108.5, 146.5); Яркость: 236; Размер: 1; Тип: звезда
Координаты: (72.0, 147.0); Яркость: 1020; Размер: 4; Тип: звезда
Координаты: (57.5, 146.5); Яркость: 763; Размер: 3; Тип: звезда
Координаты: (101.0, 147.0); Яркость: 12225; Размер: 64; Тип: звезда
Координаты: (93.0, 144.0); Яркость: 1930; Размер: 8; Тип: звезда
Координаты: (42.0, 143.5); Яркость: 959; Размер: 4; Тип: звезда
Координаты: (72.5, 142.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (173.5, 146.5); Яркость: 32640; Размер: 165; Тип: звезда
Координаты: (163.5, 142.0); Яркость: 1367; Размер: 6; Тип: звезда
Координаты: (121.5, 144.0); Яркость: 8507; Размер: 42; Тип: звезда
Координаты: (114.0, 145.0); Яркость: 9810; Размер: 48; Тип: звезда
Координаты: (64.0, 144.0); Яркость: 5059; Размер: 24; Тип: звезда
Координаты: (36.5, 142.0); Яркость: 1522; Размер: 6; Тип: звезда
