Координаты: (381.0, 261.5); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (196.5, 249.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (215.0, 226.5); Яркость: 3060; Размер: 12; Тип: звезда
Координаты: (179.5, 222.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (142.0, 216.0); Яркость: 1020; Размер: 4; Тип: звезда
Координаты: (106.0, 212.0); Яркость: 1020; Размер: 4; Тип: звезда
Координаты: (327.5, 206.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (377.5, 201.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (270.5, 181.0); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (6.0, 166.5); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (285.5, 130.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (312.5, 124.0); Яркость: 1530; Размер: 6; Тип: звезда
Координаты: (254.5, 121.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (199.5, 121.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (255.0, 76.5); Яркость: 510; Размер: 2; Тип: звезда
Координаты: (312.5, 76.0); Яркость: 1530; Размер: 6; Тип: звезда
Координаты: (355.5, 68.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (339.0, 56.0); Яркость: 1020; Размер: 4; Тип: звезда
Координаты: (345.0, 37.0); Яркость: 1020; Размер: 4; Тип: звезда
Координаты: (65.0, 33.0); Яркость: 1020; Размер: 4; Тип: звезда
Координаты: (269.5, 25.5); Яркость: 255; Размер: 1; Тип: звезда
Координаты: (297.0, 19.5); Яркость: 3060; Размер: 12; Тип: звезда
Координаты: (138.5, 5.5); Яркость: 255; Размер: 1; Тип: звезда
